Column1,Season,Episode,Sentence,Name,Allegiance ,N_serie,N_Season,Emision Date
64,Season 1,winter is coming,Right Give it here,Theon Greyjoy,House Targaryen,1,1,17/04/2011
65,Season 1,winter is coming,NO,Bran Stark,House Stark,1,1,17/04/2011
66,Season 1,winter is coming,Put away your blade,Robb Stark,House Stark,1,1,17/04/2011
67,Season 1,winter is coming,"I take orders from your father, not you",Theon Greyjoy,House Targaryen,1,1,17/04/2011
68,Season 1,winter is coming,"Please, father",Bran Stark,House Stark,1,1,17/04/2011
69,Season 1,winter is coming,"I’m sorry, Bran",Eddard Stark,House Stark,1,1,17/04/2011
70,Season 1,winter is coming,Lord Stark? There are five pups One for each of the Stark children The direwolf is the sigil of your House They were meant to have them,Jon Snow,House Stark,1,1,17/04/2011
71,Season 1,winter is coming,"You will train them yourselves You will feed them yourselves And if they die, you will bury them yourselves",Eddard Stark,House Stark,1,1,17/04/2011
72,Season 1,winter is coming,What about you?,Bran Stark,House Stark,1,1,17/04/2011
73,Season 1,winter is coming,I’m not a Stark Get on,Jon Snow,House Stark,1,1,17/04/2011
74,Season 1,winter is coming,What is it?,Robb Stark,House Stark,1,1,17/04/2011
75,Season 1,winter is coming,"The runt of the litter That one’s yours, Snow",Theon Greyjoy,House Targaryen,1,1,17/04/2011
76,Season 1,winter is coming,"As your brother, I feel it’s my duty to warn you You worry too much It’s starting to show",Jaime Lannister,House Lannister,1,1,17/04/2011
77,Season 1,winter is coming,"And you never worry about anything When we were seven, you jumped off the cliffs as Casterly Rock One hundred foot drop into the water And you were never afraid",Cersei Lannister,House Lannister,1,1,17/04/2011
78,Season 1,winter is coming,There was nothing to be afraid of until you told father We’re Lannisters Lannisters don’t act like fools,Jaime Lannister,House Lannister,1,1,17/04/2011
79,Season 1,winter is coming,What if Jon Arryn told someone?,Cersei Lannister,House Lannister,1,1,17/04/2011
80,Season 1,winter is coming,But who would he tell?,Jaime Lannister,House Lannister,1,1,17/04/2011
81,Season 1,winter is coming,My husband,Cersei Lannister,House Lannister,1,1,17/04/2011
82,Season 1,winter is coming,"If he told the king, both our heads would be skewered on the city gates by now Whatever Jon Arryn knew or didn’t know, it died with him And Robert will choose a new Hand of the king, someone to do his job while he’s off fucking boars and hunting whores Or is it the other way around? And life will go on",Jaime Lannister,House Lannister,1,1,17/04/2011
83,Season 1,winter is coming,You should be the Hand of the king,Cersei Lannister,House Lannister,1,1,17/04/2011
84,Season 1,winter is coming,"That’s an honor I can do without Their days are too long, their lives are too short",Jaime Lannister,House Lannister,1,1,17/04/2011
85,Season 1,winter is coming,All these years and I still feel like an outsider when I come here,Catelyn Stark,House Stark,1,1,17/04/2011
86,Season 1,winter is coming,You have five northern children You’re not an outsider,Eddard Stark,House Stark,1,1,17/04/2011
87,Season 1,winter is coming,I wonder if the old gods agree,Catelyn Stark,House Stark,1,1,17/04/2011
88,Season 1,winter is coming,It’s your gods with all the rules,Eddard Stark,House Stark,1,1,17/04/2011
89,Season 1,winter is coming,"I am so sorry, my love",Catelyn Stark,House Stark,1,1,17/04/2011
90,Season 1,winter is coming,Tell me,Eddard Stark,House Stark,1,1,17/04/2011
91,Season 1,winter is coming,There was a raven from Kings Landing Jon Arryn is dead A fever took him I know he was like a father to you,Catelyn Stark,House Stark,1,1,17/04/2011
92,Season 1,winter is coming,Your sister The boy,Eddard Stark,House Stark,1,1,17/04/2011
93,Season 1,winter is coming,They both have their health Gods be good The raven brought more news The king rides for Winterfell With the queen and all the rest of them,Catelyn Stark,House Stark,1,1,17/04/2011
94,Season 1,winter is coming,"He’s coming this far North, there’s only one thing he’s after",Eddard Stark,House Stark,1,1,17/04/2011
95,Season 1,winter is coming,"You can always say no, Ned",Catelyn Stark,House Stark,1,1,17/04/2011
96,Season 1,winter is coming,We need plenty of candles for Lord Tyrion’s chamber I’m told he reads all night,Catelyn Stark,House Stark,1,1,17/04/2011
97,Season 1,winter is coming,I’m told he drinks all night,Maester Luwin,House Stark,1,1,17/04/2011
98,Season 1,winter is coming,How much could he possibly drink? A man of his stature,Catelyn Stark,House Stark,1,1,17/04/2011
99,Season 1,winter is coming,We’ve brought up eight barrels of ale from the cellar Perhaps we’ll find out,Maester Luwin,House Stark,1,1,17/04/2011
100,Season 1,winter is coming,"In any case, candles",Catelyn Stark,House Stark,1,1,17/04/2011
101,Season 1,winter is coming,Why’s your mother so dead-set on us getting pretty for the king?,Jon Snow,House Stark,1,1,17/04/2011
102,Season 1,winter is coming,"It’s for the queen, I bet I hear she",Theon Greyjoy,House Targaryen,1,1,17/04/2011
103,Season 1,winter is coming,I hear the prince is a right royal prick,Robb Stark,House Stark,1,1,17/04/2011
104,Season 1,winter is coming,Think of all those southern girls he gets to stab with his right royal prick,Theon Greyjoy,House Targaryen,1,1,17/04/2011
105,Season 1,winter is coming,"Go on, Tommy, shave him good He’s never met a girl he likes better than his own hair",Robb Stark,House Stark,1,1,17/04/2011
106,Season 1,winter is coming,"Gods, but they grow fast Brandon",Catelyn Stark,House Stark,1,1,17/04/2011
107,Season 1,winter is coming,I saw the king! He’s got hundreds of people,Bran Stark,House Stark,1,1,17/04/2011
108,Season 1,winter is coming,How many times have I told you No climbing,Catelyn Stark,House Stark,1,1,17/04/2011
109,Season 1,winter is coming,But he’s coming right now! Down our road,Bran Stark,House Stark,1,1,17/04/2011
110,Season 1,winter is coming,I want you to promise me No more climbing,Catelyn Stark,House Stark,1,1,17/04/2011
111,Season 1,winter is coming,I promise,Bran Stark,House Stark,1,1,17/04/2011
112,Season 1,winter is coming,D’you know what?,Catelyn Stark,House Stark,1,1,17/04/2011
113,Season 1,winter is coming,What?,Bran Stark,House Stark,1,1,17/04/2011
114,Season 1,winter is coming,You always look at your feet before you lie Run and find your father Tell him the king is close,Catelyn Stark,House Stark,1,1,17/04/2011
115,Season 1,winter is coming,"Where’s Arya? Sansa, where’s your sister?",Catelyn Stark,House Stark,1,1,17/04/2011
116,Season 1,winter is coming,"Hey,, hey, hey, hey What are you doing with that on?",Eddard Stark,House Stark,1,1,17/04/2011
117,Season 1,winter is coming,Move,Arya Stark,House Stark,1,1,17/04/2011
118,Season 1,winter is coming,Your Grace,Eddard Stark,House Stark,1,1,17/04/2011
119,Season 1,winter is coming,You’ve got fat,Robert Baratheon,House Baratheon,1,1,17/04/2011
120,Season 1,winter is coming,Cat,Robert Baratheon,House Baratheon,1,1,17/04/2011
121,Season 1,winter is coming,Your Grace,Catelyn Stark,House Stark,1,1,17/04/2011
122,Season 1,winter is coming,Nine years Why haven’t I seen you? Where the hell have you been?,Robert Baratheon,House Baratheon,1,1,17/04/2011
123,Season 1,winter is coming,"Guarding the North for you, Your Grace Winterfell is yours",Eddard Stark,House Stark,1,1,17/04/2011
124,Season 1,winter is coming,Where’s the Imp?,Arya Stark,House Stark,1,1,17/04/2011
125,Season 1,winter is coming,Will you shut up?,Sansa Stark,House Stark,1,1,17/04/2011
126,Season 1,winter is coming,"Who have we here? You must be Robb My, you’re a pretty one Your name is?",Robert Baratheon,House Baratheon,1,1,17/04/2011
127,Season 1,winter is coming,Arya,Arya Stark,House Stark,1,1,17/04/2011
128,Season 1,winter is coming,Ooh Show us your muscles You’ll be a soldier,Robert Baratheon,House Baratheon,1,1,17/04/2011
129,Season 1,winter is coming,That’s Jaime Lannister The queen’s twin brother,Arya Stark,House Stark,1,1,17/04/2011
130,Season 1,winter is coming,Would you please shut up,Sansa Stark,House Stark,1,1,17/04/2011
131,Season 1,winter is coming,My queen,Eddard Stark,House Stark,1,1,17/04/2011
132,Season 1,winter is coming,My queen,Catelyn Stark,House Stark,1,1,17/04/2011
133,Season 1,winter is coming,Take me to your crypt I want to pay my respects,Robert Baratheon,House Baratheon,1,1,17/04/2011
134,Season 1,winter is coming,"We’ve been riding for a month, my love Surely the dead can wait",Cersei Lannister,House Lannister,1,1,17/04/2011
135,Season 1,winter is coming,Ned,Robert Baratheon,House Baratheon,1,1,17/04/2011
136,Season 1,winter is coming,Where’s the Imp?,Arya Stark,House Stark,1,1,17/04/2011
137,Season 1,winter is coming,Where is our brother? Go find the little beast,Cersei Lannister,House Lannister,1,1,17/04/2011
138,Season 1,winter is coming,Tell me about Jon Arryn,Eddard Stark,House Stark,1,1,17/04/2011
139,Season 1,winter is coming,"One minute he was fine, and then Burned right through him, whatever it was I loved that man",Robert Baratheon,House Baratheon,1,1,17/04/2011
140,Season 1,winter is coming,We both did,Eddard Stark,House Stark,1,1,17/04/2011
141,Season 1,winter is coming,"He never had to teach you much, but me You remember me at 16? All I wanted to do was crack skulls and fuck girls He showed me what was what",Robert Baratheon,House Baratheon,1,1,17/04/2011
142,Season 1,winter is coming,Aye,Eddard Stark,House Stark,1,1,17/04/2011
143,Season 1,winter is coming,"Don’t look at me like that Not his fault I didn’t listen I need you, Ned Down at Kings Landing Not up here, where you’re no damn use to anybody Lord Eddard Stark, I would name you the Hand of the king",Robert Baratheon,House Baratheon,1,1,17/04/2011
144,Season 1,winter is coming,I’m not worthy of the honor,Eddard Stark,House Stark,1,1,17/04/2011
145,Season 1,winter is coming,"I’m not trying to honor you I’m trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave Damn it, Ned, stand up You helped me win the Iron Throne, now help me keep the damn thing We were meant to rule together If your sister had lived, we would have been bound by blood Well, it’s not too late I have a son, you have a daughter We’ll join our Houses",Robert Baratheon,House Baratheon,1,1,17/04/2011
146,Season 1,winter is coming,Mmh It is true what they say about the Northern girls,Tyrion Lannister,House Targaryen,1,1,17/04/2011
147,Season 1,winter is coming,Did you hear the king’s in Winterfell?,Ros,Other,1,1,17/04/2011
148,Season 1,winter is coming,I did hear something about that,Tyrion Lannister,House Targaryen,1,1,17/04/2011
149,Season 1,winter is coming,And the queen And her twin brother They say that he is the most handsome man in the Seven Kingdoms,Ros,Other,1,1,17/04/2011
150,Season 1,winter is coming,And the other brother?,Tyrion Lannister,House Targaryen,1,1,17/04/2011
151,Season 1,winter is coming,The queen has two brothers?,Ros,Other,1,1,17/04/2011
152,Season 1,winter is coming,There’s the pretty one And there’s the clever one,Tyrion Lannister,House Targaryen,1,1,17/04/2011
153,Season 1,winter is coming,I hear they call him the Imp,Ros,Other,1,1,17/04/2011
154,Season 1,winter is coming,I hear he hates that nickname,Tyrion Lannister,House Targaryen,1,1,17/04/2011
155,Season 1,winter is coming,Oh? I hear he’s more than earned it I hear he’s a drunken little lecher into all manner of perversions,Ros,Other,1,1,17/04/2011
156,Season 1,winter is coming,Clever girl,Tyrion Lannister,House Targaryen,1,1,17/04/2011
157,Season 1,winter is coming,"We’ve been expecting you, Lord Tyrion",Ros,Other,1,1,17/04/2011
158,Season 1,winter is coming,Have you?,Tyrion Lannister,House Targaryen,1,1,17/04/2011
159,Season 1,winter is coming,The gods gave me one blessing,Tyrion Lannister,House Targaryen,1,1,17/04/2011
160,Season 1,winter is coming,Don’t get up,Jaime Lannister,House Lannister,1,1,17/04/2011
161,Season 1,winter is coming,M’lord,Ros,Other,1,1,17/04/2011
162,Season 1,winter is coming,"Should I explain to you the meaning of a closed door in a whorehouse, brother?",Tyrion Lannister,House Targaryen,1,1,17/04/2011
163,Season 1,winter is coming,"You’ve much to teach me, no doubt But our sister craves your attention",Jaime Lannister,House Lannister,1,1,17/04/2011
164,Season 1,winter is coming,"She has odd cravings, our sister",Tyrion Lannister,House Targaryen,1,1,17/04/2011
165,Season 1,winter is coming,"A family trait Now, the Starks are feasting us at sundown Don’t leave me alone with these people",Jaime Lannister,House Lannister,1,1,17/04/2011
166,Season 1,winter is coming,"I’m sorry, I’ve begun the feast a bit early And this is the first of many courses",Tyrion Lannister,House Targaryen,1,1,17/04/2011
167,Season 1,winter is coming,"I thought you might say that But since we’re short on time, Come on, girls See you at sundown",Jaime Lannister,House Lannister,1,1,17/04/2011
168,Season 1,winter is coming,"Close the door!Scene changes to the Winterfell crypt, at Lyanna’s tomb",Tyrion Lannister,House Targaryen,1,1,17/04/2011
169,Season 1,winter is coming,Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her,Robert Baratheon,House Baratheon,1,1,17/04/2011
170,Season 1,winter is coming,She was my sister This is where she belongs,Eddard Stark,House Stark,1,1,17/04/2011
171,Season 1,winter is coming,She belonged with me,Robert Baratheon,House Baratheon,1,1,17/04/2011
172,Season 1,winter is coming,"In my dreams, I kill him every night",Robert Baratheon,House Baratheon,1,1,17/04/2011
173,Season 1,winter is coming,"It’s done, Your Grace The Targaryens are gone",Eddard Stark,House Stark,1,1,17/04/2011
174,Season 1,winter is coming,Not all of them,Robert Baratheon,House Baratheon,1,1,17/04/2011
175,Season 1,winter is coming,Daenerys,Viserys Targaryen,House Targaryen,1,1,17/04/2011
176,Season 1,winter is coming,Daenerys! There’s our bride to be! Look – a gift from Illyrio Touch it Come on Feel the fabric Mmmm Isn’t he a gracious host?,Viserys Targaryen,House Targaryen,1,1,17/04/2011
177,Season 1,winter is coming,We’ve been his guests for over a year and he’s never asked us for anything,Daenerys Targaryen,House Targaryen,1,1,17/04/2011
178,Season 1,winter is coming,"Illyrio is no fool He knows I won’t forget my friends when I come into my throne You still slouch Let me see You have a woman’s body now I need you to be perfect today Can you do that for me? You don’t want to wake the dragon, do you?",Viserys Targaryen,House Targaryen,1,1,17/04/2011
179,Season 1,winter is coming,No,Daenerys Targaryen,House Targaryen,1,1,17/04/2011
180,Season 1,winter is coming,"When they write the history of my reign, sweet sister, they will say it began today",Viserys Targaryen,House Targaryen,1,1,17/04/2011
182,Season 1,winter is coming,Where is he?,Viserys Targaryen,House Targaryen,1,1,17/04/2011
183,Season 1,winter is coming,The Dothraki are not known for their punctuality,Illyrio Mopatis,House Targaryen,1,1,17/04/2011
184,Season 1,winter is coming,"May I present my honored guests? Viserys of House Targaryen, the third of his name The rightful King of the Andals and the First Men And his sister, Daenerys, of the House Targaryen",Illyrio Mopatis,House Targaryen,1,1,17/04/2011
185,Season 1,winter is coming,"Do you see how long his hair is? When Dothraki are defeated in combat, they cut off their braid so the whole world can see their shame Khal Drogo has never been defeated He’s a savage, of course, but he’s one of the finest killers alive And you will be his queen",Viserys Targaryen,House Targaryen,1,1,17/04/2011
186,Season 1,winter is coming,"Come forward, my dear",Illyrio Mopatis,House Targaryen,1,1,17/04/2011
187,Season 1,winter is coming,Where’s he going?,Viserys Targaryen,House Targaryen,1,1,17/04/2011
188,Season 1,winter is coming,The ceremony is over,Illyrio Mopatis,House Targaryen,1,1,17/04/2011
189,Season 1,winter is coming,But he didn’t say anything Did he like her?,Viserys Targaryen,House Targaryen,1,1,17/04/2011
190,Season 1,winter is coming,"Trust me, Your Grace If he didn’t like her, we’d know",Illyrio Mopatis,House Targaryen,1,1,17/04/2011
191,Season 1,winter is coming,It won’t be long now Soon you will cross the Narrow Sea and take back your father’s throne The people drink secret toasts to your health They cry out for their true king,Illyrio Mopatis,House Targaryen,1,1,17/04/2011
192,Season 1,winter is coming,When will they be married?,Viserys Targaryen,House Targaryen,1,1,17/04/2011
193,Season 1,winter is coming,Soon The Dothraki never stay still for long,Illyrio Mopatis,House Targaryen,1,1,17/04/2011
194,Season 1,winter is coming,Is it true they lie with their horses?,Viserys Targaryen,House Targaryen,1,1,17/04/2011
195,Season 1,winter is coming,I wouldn’t ask Khal Drogo,Illyrio Mopatis,House Targaryen,1,1,17/04/2011
196,Season 1,winter is coming,Do you take me for a fool?,Viserys Targaryen,House Targaryen,1,1,17/04/2011
197,Season 1,winter is coming,I take you for a king Kings lack the caution of common men My apologies if I’ve given offense,Illyrio Mopatis,House Targaryen,1,1,17/04/2011
198,Season 1,winter is coming,I know how to play a man like Drogo I give him a queen and he gives me an army DAENERYS I don’t want to be his queen I want to go home,Viserys Targaryen,House Targaryen,1,1,17/04/2011
199,Season 1,winter is coming,"So do I I want us both to go home But they took it from us So tell me, sweet sister, how do we go home?",Viserys Targaryen,House Targaryen,1,1,17/04/2011
200,Season 1,winter is coming,I don’t know,Daenerys Targaryen,House Targaryen,1,1,17/04/2011
201,Season 1,winter is coming,"We go home with an army With Khal Drogo’s army I would let his whole tribe fuck you, all 40,000 men and their horses too, if that’s what it took",Viserys Targaryen,House Targaryen,1,1,17/04/2011
202,Season 1,winter is coming,Do you think Joffrey will like me? What if he thinks I’m ugly?,Sansa Stark,House Stark,1,1,17/04/2011
203,Season 1,winter is coming,Then he is the stupidest prince that ever lived,Catelyn Stark,House Stark,1,1,17/04/2011
204,Season 1,winter is coming,He’s so handsome,Sansa Stark,House Stark,1,1,17/04/2011
205,Season 1,winter is coming,When would we be married? Soon or do we have to wait?,Sansa Stark,House Stark,1,1,17/04/2011
206,Season 1,winter is coming,Hush now Your father hasn’t even said yes,Catelyn Stark,House Stark,1,1,17/04/2011
207,Season 1,winter is coming,Why would he say no? He’d be the second most powerful man in the kingdoms,Sansa Stark,House Stark,1,1,17/04/2011
208,Season 1,winter is coming,He’d have to leave home He’d have to leave me And so would you,Catelyn Stark,House Stark,1,1,17/04/2011
209,Season 1,winter is coming,You left your home to come here And I’d be queen someday Please make father say yes,Sansa Stark,House Stark,1,1,17/04/2011
210,Season 1,winter is coming,Sansa,Catelyn Stark,House Stark,1,1,17/04/2011
211,Season 1,winter is coming,"Please, please It’s the only thing I ever wanted",Sansa Stark,House Stark,1,1,17/04/2011
212,Season 1,winter is coming,Is he dead yet?,Benjen Stark,Night's Watch,1,1,17/04/2011
213,Season 1,winter is coming,Uncle Benjen,Jon Snow,House Stark,1,1,17/04/2011
214,Season 1,winter is coming,You got bigger I rode all day Didn’t want to leave you alone with the Lannisters Why aren’t you at the feast?,Benjen Stark,Night's Watch,1,1,17/04/2011
215,Season 1,winter is coming,Lady Stark thought it might insult the royal family to seat a bastard in their midst,Jon Snow,House Stark,1,1,17/04/2011
216,Season 1,winter is coming,"Well, you’re always welcome on the wall No bastard was ever refused a seat there",Benjen Stark,Night's Watch,1,1,17/04/2011
217,Season 1,winter is coming,So take me with you when you go back,Jon Snow,House Stark,1,1,17/04/2011
218,Season 1,winter is coming,Jon,Benjen Stark,Night's Watch,1,1,17/04/2011
219,Season 1,winter is coming,"Father will let me if you ask him, I know he will",Jon Snow,House Stark,1,1,17/04/2011
220,Season 1,winter is coming,The Wall isn’t going anywhere,Benjen Stark,Night's Watch,1,1,17/04/2011
221,Season 1,winter is coming,I’m ready to swear your oath,Jon Snow,House Stark,1,1,17/04/2011
222,Season 1,winter is coming,You don’t understand what you’d be giving up We have no families None of us will ever father sons,Benjen Stark,Night's Watch,1,1,17/04/2011
223,Season 1,winter is coming,I don’t care about that,Jon Snow,House Stark,1,1,17/04/2011
224,Season 1,winter is coming,"You might, if you knew what it meant I’d better get inside Rescue your father from his guests We’ll talk later",Benjen Stark,Night's Watch,1,1,17/04/2011
225,Season 1,winter is coming,Your uncle’s in the Night’s Watch,Tyrion Lannister,House Targaryen,1,1,17/04/2011
226,Season 1,winter is coming,What’re you doing back there?,Jon Snow,House Stark,1,1,17/04/2011
227,Season 1,winter is coming,Preparing for a night with your family I’ve always wanted to see the Wall,Tyrion Lannister,House Targaryen,1,1,17/04/2011
228,Season 1,winter is coming,You’re Tyrion Lannister The queen’s brother?,Jon Snow,House Stark,1,1,17/04/2011
229,Season 1,winter is coming,"My greatest accomplishment You – you’re Ned Stark’s bastard, aren’t you?",Tyrion Lannister,House Targaryen,1,1,17/04/2011
230,Season 1,winter is coming,"Did I offend you? Sorry You are the bastard, though",Tyrion Lannister,House Targaryen,1,1,17/04/2011
231,Season 1,winter is coming,Lord Eddard Stark is my father,Jon Snow,House Stark,1,1,17/04/2011
232,Season 1,winter is coming,"And Lady Stark is not your mother Making you a bastard Let me give you some advice, bastard Never forget what you are The rest of the world will not Wear it like armor Then it can never be used to hurt you",Tyrion Lannister,House Targaryen,1,1,17/04/2011
233,Season 1,winter is coming,What the hell do you know about being a bastard?,Jon Snow,House Stark,1,1,17/04/2011
234,Season 1,winter is coming,All dwarves are bastards in their fathers’ eyes,Tyrion Lannister,House Targaryen,1,1,17/04/2011
235,Season 1,winter is coming,You at a feast It’s like a bear in a trap,Benjen Stark,Night's Watch,1,1,17/04/2011
236,Season 1,winter is coming,The boy I beheaded Did you know him?,Eddard Stark,House Stark,1,1,17/04/2011
237,Season 1,winter is coming,"Of course I did Just a lad But he was tough, Ned A true Ranger",Benjen Stark,Night's Watch,1,1,17/04/2011
238,Season 1,winter is coming,He was talking madness Said the Walkers slaughtered his friends,Eddard Stark,House Stark,1,1,17/04/2011
239,Season 1,winter is coming,The two he was with are still missing,Benjen Stark,Night's Watch,1,1,17/04/2011
240,Season 1,winter is coming,A wildling ambush,Eddard Stark,House Stark,1,1,17/04/2011
241,Season 1,winter is coming,Maybe Direwolves south of the wall Talk of the Walkers My brother might be the next Hand to the king Winter is coming,Benjen Stark,Night's Watch,1,1,17/04/2011
242,Season 1,winter is coming,Winter is coming,Eddard Stark,House Stark,1,1,17/04/2011
243,Season 1,winter is coming,Uncle Benjen,Robb Stark,House Stark,1,1,17/04/2011
244,Season 1,winter is coming,Robb boy How are ye?,Benjen Stark,Night's Watch,1,1,17/04/2011
245,Season 1,winter is coming,"I’m good CATELYN Is this your first time in the North, Your Grace?",Robb Stark,House Stark,1,1,17/04/2011
